    0 val 1:10.84957 | 2:10.85946 | 3:10.83371
 4463 train 1:3.62351 | 2:5.05997 | 3:5.85771
 4464 train 1:3.54957 | 2:4.96349 | 3:5.72618
 4465 train 1:3.56512 | 2:4.95023 | 3:5.65143
 4466 train 1:3.88376 | 2:5.31423 | 3:6.06741
 4467 train 1:3.52757 | 2:4.93869 | 3:5.70634
 4468 train 1:3.50254 | 2:4.95282 | 3:5.74415
 4469 train 1:3.53024 | 2:4.96075 | 3:5.75833
 4470 train 1:3.67746 | 2:5.11538 | 3:5.89677
 4471 train 1:3.64091 | 2:5.05445 | 3:5.87478
 4472 train 1:3.31855 | 2:4.73136 | 3:5.58275
 4473 train 1:3.46062 | 2:4.86746 | 3:5.68380
 4474 train 1:3.33711 | 2:4.77651 | 3:5.62477
 4475 train 1:3.52091 | 2:4.97376 | 3:5.78516
 4476 train 1:3.53615 | 2:4.93170 | 3:5.72932
 4477 train 1:3.41673 | 2:4.82761 | 3:5.64633
 4478 train 1:3.50965 | 2:4.90461 | 3:5.69664
 4479 train 1:3.61233 | 2:5.01009 | 3:5.78416
 4480 train 1:3.73847 | 2:5.15336 | 3:5.86357
 4481 train 1:3.43458 | 2:4.91949 | 3:5.74576
 4482 train 1:3.88455 | 2:5.33478 | 3:6.11340
 4483 train 1:3.78831 | 2:5.17577 | 3:5.89772
 4484 train 1:3.45985 | 2:4.75961 | 3:5.58670
 4485 train 1:3.65057 | 2:5.09826 | 3:5.89460
 4486 train 1:3.48131 | 2:4.84989 | 3:5.65043
 4487 train 1:3.75129 | 2:5.14511 | 3:5.84347
 4488 train 1:3.87980 | 2:5.37788 | 3:6.14336
 4489 train 1:3.73966 | 2:5.20363 | 3:5.97295
 4490 train 1:4.02641 | 2:5.51423 | 3:6.24593
 4491 train 1:3.84941 | 2:5.18949 | 3:5.90216
 4492 train 1:3.59865 | 2:5.09115 | 3:5.89352
 4493 train 1:3.67379 | 2:5.14442 | 3:5.92241
 4494 train 1:3.77315 | 2:5.24380 | 3:6.02208
 4495 train 1:3.64387 | 2:5.08279 | 3:5.87106
 4496 train 1:3.69382 | 2:5.11489 | 3:5.88062
 4497 train 1:3.84562 | 2:5.29780 | 3:6.04549
 4498 train 1:3.44033 | 2:4.75113 | 3:5.49232
 4499 train 1:3.53650 | 2:4.96290 | 3:5.76285
 4500 val 1:3.63859 | 2:5.01268 | 3:5.80408
 4500 train 1:3.68950 | 2:5.11242 | 3:5.85679
 4501 train 1:3.65422 | 2:5.04136 | 3:5.80311
 4502 train 1:3.71698 | 2:5.17855 | 3:5.99304
 4503 train 1:4.39500 | 2:5.79481 | 3:6.42040
 4504 train 1:3.70723 | 2:5.14730 | 3:5.90256
 4505 train 1:3.65796 | 2:5.09043 | 3:5.89000
 4506 train 1:3.65225 | 2:5.06677 | 3:5.83327
 4507 train 1:3.72830 | 2:5.16238 | 3:5.93461
 4508 train 1:3.57456 | 2:4.93892 | 3:5.69445
 4509 train 1:3.54187 | 2:4.86633 | 3:5.58907
 4510 train 1:3.67728 | 2:5.09051 | 3:5.87245
 4511 train 1:3.99692 | 2:5.50201 | 3:6.26265
 4512 train 1:3.61605 | 2:5.04599 | 3:5.83534
 4513 train 1:3.71204 | 2:5.09027 | 3:5.85329
 4514 train 1:3.51046 | 2:4.92343 | 3:5.70773
 4515 train 1:3.44333 | 2:4.85578 | 3:5.65103
 4516 train 1:3.29535 | 2:4.52175 | 3:5.18962
 4517 train 1:3.36165 | 2:4.77997 | 3:5.59891
 4518 train 1:3.37165 | 2:4.78688 | 3:5.62581
 4519 train 1:3.44416 | 2:4.83632 | 3:5.66077
 4520 train 1:3.36783 | 2:4.74245 | 3:5.51989
 4521 train 1:3.18007 | 2:4.59562 | 3:5.47175
 4522 train 1:3.62605 | 2:5.01280 | 3:5.79125
 4523 train 1:3.40029 | 2:4.82842 | 3:5.65575
 4524 train 1:3.75790 | 2:5.16235 | 3:5.88441
 4525 train 1:3.64998 | 2:5.04359 | 3:5.78330
 4526 train 1:3.66899 | 2:5.10590 | 3:5.87488
 4527 train 1:3.40127 | 2:4.78028 | 3:5.60015
 4528 train 1:3.49948 | 2:4.91205 | 3:5.68415
 4529 train 1:3.47590 | 2:4.92779 | 3:5.75639
 4530 train 1:3.76008 | 2:5.12463 | 3:5.84204
 4531 train 1:3.82734 | 2:5.15088 | 3:5.85643
 4532 train 1:3.81017 | 2:5.30016 | 3:6.06475
 4533 train 1:3.56817 | 2:5.05670 | 3:5.87748
 4534 train 1:3.50989 | 2:4.96926 | 3:5.78962
 4535 train 1:3.55435 | 2:4.99939 | 3:5.82825
 4536 train 1:3.61476 | 2:5.03297 | 3:5.80295
 4537 train 1:3.59568 | 2:5.01630 | 3:5.80069
 4538 train 1:3.49184 | 2:4.85840 | 3:5.58149
 4539 train 1:3.67410 | 2:5.03562 | 3:5.78202
 4540 train 1:3.92195 | 2:5.31825 | 3:6.03991
 4541 train 1:3.63611 | 2:5.03428 | 3:5.81466
 4542 train 1:3.78272 | 2:5.19796 | 3:5.97691
 4543 train 1:3.68558 | 2:5.10487 | 3:5.85666
 4544 train 1:3.88084 | 2:5.31769 | 3:6.04732
 4545 train 1:3.80916 | 2:5.28512 | 3:6.01790
 4546 train 1:3.73526 | 2:5.12639 | 3:5.88222
 4547 train 1:3.63563 | 2:5.07536 | 3:5.85215
 4548 train 1:3.55630 | 2:4.93386 | 3:5.72824
 4549 train 1:3.87438 | 2:5.38179 | 3:6.13643
 4550 train 1:3.58167 | 2:4.96926 | 3:5.72477
 4551 train 1:3.70686 | 2:5.18973 | 3:5.95078
 4552 train 1:3.60421 | 2:5.04525 | 3:5.82233
 4553 train 1:4.03427 | 2:5.40410 | 3:6.08522
 4554 train 1:3.60193 | 2:5.02370 | 3:5.79189
 4555 train 1:3.73609 | 2:5.18656 | 3:5.99301
 4556 train 1:3.45212 | 2:4.87095 | 3:5.69577
 4557 train 1:3.62277 | 2:5.00309 | 3:5.75955
 4558 train 1:3.70607 | 2:5.13822 | 3:5.93913
 4559 train 1:4.02591 | 2:5.45515 | 3:6.21054
 4560 train 1:3.64440 | 2:5.07936 | 3:5.88670
 4561 train 1:3.58489 | 2:5.03491 | 3:5.83291
 4562 train 1:3.46742 | 2:4.89226 | 3:5.69039
 4563 train 1:3.55730 | 2:5.00778 | 3:5.81226
 4564 train 1:3.31014 | 2:4.74835 | 3:5.60184
 4565 train 1:3.60939 | 2:5.01804 | 3:5.79667
 4566 train 1:3.52098 | 2:4.91589 | 3:5.70558
 4567 train 1:3.82803 | 2:5.25563 | 3:6.00728
 4568 train 1:3.75212 | 2:5.14981 | 3:5.93566
 4569 train 1:3.73123 | 2:5.22884 | 3:6.03425
 4570 train 1:3.21739 | 2:4.60209 | 3:5.44502
 4571 train 1:3.57633 | 2:5.01092 | 3:5.83552
 4572 train 1:3.38428 | 2:4.74089 | 3:5.53102
 4573 train 1:3.42749 | 2:4.86100 | 3:5.65112
 4574 train 1:3.34270 | 2:4.74336 | 3:5.56751
 4575 train 1:3.30133 | 2:4.70539 | 3:5.53171
 4576 train 1:3.58503 | 2:5.02460 | 3:5.81679
 4577 train 1:3.94541 | 2:5.42621 | 3:6.13511
 4578 train 1:3.51872 | 2:4.93656 | 3:5.73213
 4579 train 1:3.58512 | 2:4.99947 | 3:5.78369
 4580 train 1:3.69379 | 2:5.17055 | 3:5.93594
 4581 train 1:3.89104 | 2:5.32078 | 3:6.07028
 4582 train 1:3.54805 | 2:4.98226 | 3:5.80045
 4583 train 1:3.73848 | 2:5.17958 | 3:5.96344
 4584 train 1:3.63767 | 2:5.11900 | 3:5.90008
 4585 train 1:3.39106 | 2:4.81842 | 3:5.61768
 4586 train 1:3.66920 | 2:5.09323 | 3:5.86728
 4587 train 1:3.67131 | 2:5.15934 | 3:5.90521
 4588 train 1:3.61364 | 2:5.02955 | 3:5.80021
 4589 train 1:3.58565 | 2:5.05788 | 3:5.85273
 4590 train 1:3.64445 | 2:5.10005 | 3:5.86602
 4591 train 1:3.37982 | 2:4.83569 | 3:5.65908
 4592 train 1:3.77708 | 2:5.20558 | 3:5.94350
 4593 train 1:3.60618 | 2:5.05333 | 3:5.84872
 4594 train 1:4.14128 | 2:5.58224 | 3:6.35408
 4595 train 1:3.91477 | 2:5.34637 | 3:6.12220
 4596 train 1:3.50287 | 2:4.92308 | 3:5.74228
 4597 train 1:3.62820 | 2:5.06105 | 3:5.85366
 4598 train 1:3.48782 | 2:4.89142 | 3:5.68205
 4599 train 1:3.78733 | 2:5.16687 | 3:5.89272
 4600 train 1:3.70706 | 2:5.15115 | 3:5.92607
 4601 train 1:3.76508 | 2:5.21251 | 3:5.95507
 4602 train 1:3.67411 | 2:5.12743 | 3:5.92131
 4603 train 1:3.59150 | 2:5.00887 | 3:5.78332
 4604 train 1:3.51857 | 2:4.94964 | 3:5.78272
 4605 train 1:3.75807 | 2:5.18361 | 3:5.96736
 4606 train 1:3.63680 | 2:5.10549 | 3:5.88790
 4607 train 1:3.70945 | 2:5.14712 | 3:5.90151
 4608 train 1:3.49984 | 2:4.83943 | 3:5.55619
 4609 train 1:3.57508 | 2:4.99669 | 3:5.76684
 4610 train 1:3.76768 | 2:5.20600 | 3:5.99053
 4611 train 1:3.47722 | 2:4.94750 | 3:5.75210
 4612 train 1:3.56407 | 2:4.97898 | 3:5.73052
 4613 train 1:3.52635 | 2:4.93630 | 3:5.72286
 4614 train 1:3.50904 | 2:4.96346 | 3:5.80957
 4615 train 1:3.57835 | 2:4.99314 | 3:5.79468
 4616 train 1:3.43087 | 2:4.82497 | 3:5.63076
 4617 train 1:3.25965 | 2:4.65316 | 3:5.49169
 4618 train 1:3.03806 | 2:4.46932 | 3:5.38492
 4619 train 1:3.34859 | 2:4.72772 | 3:5.59187
 4620 train 1:3.22696 | 2:4.62568 | 3:5.49180
 4621 train 1:3.36892 | 2:4.74660 | 3:5.55423
 4622 train 1:3.52010 | 2:4.89723 | 3:5.70354
 4623 train 1:3.83768 | 2:5.29382 | 3:6.06391
 4624 train 1:3.64635 | 2:5.13157 | 3:5.95048
 4625 train 1:3.54780 | 2:4.95146 | 3:5.75477
 4626 train 1:3.72819 | 2:5.09076 | 3:5.84386
 4627 train 1:3.68127 | 2:5.07608 | 3:5.81743
 4628 train 1:3.74192 | 2:5.18006 | 3:5.92582
 4629 train 1:3.26706 | 2:4.72612 | 3:5.58975
 4630 train 1:3.71983 | 2:5.15444 | 3:5.94554
 4631 train 1:3.76079 | 2:5.18703 | 3:5.92931
 4632 train 1:3.96169 | 2:5.39510 | 3:6.10640
 4633 train 1:3.66262 | 2:5.09228 | 3:5.83997
 4634 train 1:3.41746 | 2:4.77884 | 3:5.51994
 4635 train 1:3.83071 | 2:5.24565 | 3:5.97286
 4636 train 1:3.75085 | 2:5.16114 | 3:5.91693
 4637 train 1:3.68059 | 2:5.10883 | 3:5.86955
 4638 train 1:3.50790 | 2:4.90345 | 3:5.71405
 4639 train 1:3.66515 | 2:5.10690 | 3:5.86497
 4640 train 1:3.57265 | 2:4.96627 | 3:5.73639
 4641 train 1:3.59327 | 2:5.03627 | 3:5.80932
 4642 train 1:3.84579 | 2:5.31395 | 3:6.07321
 4643 train 1:3.65135 | 2:5.09815 | 3:5.88261
 4644 train 1:3.61867 | 2:5.05612 | 3:5.82686
 4645 train 1:3.69765 | 2:5.16379 | 3:5.98288
 4646 train 1:3.66197 | 2:5.05558 | 3:5.80947
 4647 train 1:3.55753 | 2:4.92359 | 3:5.70077
 4648 train 1:3.80420 | 2:5.19792 | 3:5.92567
 4649 train 1:3.70272 | 2:5.15205 | 3:5.92597
 4650 train 1:3.60626 | 2:5.06245 | 3:5.86937
 4651 train 1:3.66446 | 2:5.11688 | 3:5.89967
 4652 train 1:3.65274 | 2:5.07617 | 3:5.85044
 4653 train 1:3.64066 | 2:5.03599 | 3:5.79359
 4654 train 1:3.77480 | 2:5.23297 | 3:5.99175
 4655 train 1:3.63334 | 2:5.04076 | 3:5.83691
 4656 train 1:3.72902 | 2:5.12701 | 3:5.86848
 4657 train 1:3.58478 | 2:5.03103 | 3:5.81699
 4658 train 1:3.59400 | 2:5.06690 | 3:5.85002
 4659 train 1:3.28437 | 2:4.69780 | 3:5.53378
 4660 train 1:3.54489 | 2:4.97313 | 3:5.73580
 4661 train 1:3.18472 | 2:4.65263 | 3:5.55344
 4662 train 1:3.55701 | 2:4.98096 | 3:5.78774
 4663 train 1:3.47621 | 2:4.92730 | 3:5.73117
 4664 train 1:3.56999 | 2:4.97878 | 3:5.76278
 4665 train 1:3.52734 | 2:4.94986 | 3:5.77582
 4666 train 1:3.80059 | 2:5.23897 | 3:6.00126
 4667 train 1:3.34157 | 2:4.76658 | 3:5.62251
 4668 train 1:3.73714 | 2:5.20271 | 3:5.99656
 4669 train 1:3.52770 | 2:4.90132 | 3:5.69444
 4670 train 1:4.30353 | 2:5.61400 | 3:6.24482
 4671 train 1:3.71916 | 2:5.22153 | 3:6.07831
 4672 train 1:3.58054 | 2:5.00102 | 3:5.75757
 4673 train 1:3.78142 | 2:5.25031 | 3:6.01020
 4674 train 1:3.64782 | 2:5.07456 | 3:5.84410
 4675 train 1:3.85510 | 2:5.27673 | 3:6.02224
 4676 train 1:3.71545 | 2:5.13013 | 3:5.89094
 4677 train 1:3.97120 | 2:5.43580 | 3:6.15346
 4678 train 1:3.65636 | 2:5.13792 | 3:5.96968
 4679 train 1:3.64449 | 2:5.04585 | 3:5.78316
 4680 train 1:3.70382 | 2:5.10131 | 3:5.87552
 4681 train 1:3.62198 | 2:5.05061 | 3:5.84612
 4682 train 1:3.63114 | 2:5.07400 | 3:5.85764
 4683 train 1:3.99858 | 2:5.49729 | 3:6.25491
 4684 train 1:3.77130 | 2:5.23197 | 3:6.00917
 4685 train 1:3.76698 | 2:5.25358 | 3:6.04727
 4686 train 1:3.60850 | 2:5.04577 | 3:5.84657
 4687 train 1:3.76704 | 2:5.24277 | 3:5.99460
 4688 train 1:3.34495 | 2:4.77039 | 3:5.59466
 4689 train 1:3.71949 | 2:5.18648 | 3:5.98853
 4690 train 1:3.84073 | 2:5.30464 | 3:6.07928
 4691 train 1:3.67792 | 2:5.08557 | 3:5.84718
 4692 train 1:3.63060 | 2:5.03870 | 3:5.78079
 4693 train 1:3.44132 | 2:4.88327 | 3:5.69966
 4694 train 1:3.64404 | 2:5.07249 | 3:5.84973
 4695 train 1:3.58783 | 2:4.99811 | 3:5.76206
 4696 train 1:3.56237 | 2:4.95329 | 3:5.71327
 4697 train 1:3.56842 | 2:4.99711 | 3:5.79156
 4698 train 1:3.51745 | 2:4.99061 | 3:5.75271
 4699 train 1:3.39645 | 2:4.80946 | 3:5.64172
 4700 train 1:3.55180 | 2:5.00205 | 3:5.78661
 4701 train 1:3.60605 | 2:5.07397 | 3:5.88282
 4702 train 1:3.67833 | 2:5.07901 | 3:5.83439
 4703 train 1:3.49045 | 2:4.90598 | 3:5.67973
 4704 train 1:3.47893 | 2:4.71407 | 3:5.43321
 4705 train 1:3.57547 | 2:4.99213 | 3:5.75912
 4706 train 1:3.43782 | 2:4.78302 | 3:5.57228
 4707 train 1:3.45793 | 2:4.87430 | 3:5.68633
 4708 train 1:3.53559 | 2:4.93831 | 3:5.69710
 4709 train 1:3.28916 | 2:4.68945 | 3:5.51112
 4710 train 1:3.35840 | 2:4.75437 | 3:5.56429
 4711 train 1:3.63220 | 2:5.03649 | 3:5.79372
 4712 train 1:3.75864 | 2:5.07158 | 3:5.81973
 4713 train 1:3.68383 | 2:5.12140 | 3:5.88457
 4714 train 1:3.71790 | 2:5.15499 | 3:5.90546
 4715 train 1:3.49717 | 2:4.91102 | 3:5.72620
 4716 train 1:3.98602 | 2:5.42178 | 3:6.13048
 4717 train 1:3.73905 | 2:5.19046 | 3:5.96425
 4718 train 1:3.84037 | 2:5.27810 | 3:6.02632
 4719 train 1:3.50280 | 2:4.93891 | 3:5.76978
 4720 train 1:3.81072 | 2:5.29262 | 3:6.05912
 4721 train 1:3.62171 | 2:5.06870 | 3:5.88442
 4722 train 1:3.68516 | 2:5.16698 | 3:5.93775
 4723 train 1:3.71688 | 2:5.11525 | 3:5.88275
 4724 train 1:3.74000 | 2:5.23844 | 3:6.00972
 4725 train 1:3.64737 | 2:5.03857 | 3:5.76712
 4726 train 1:3.61480 | 2:5.01838 | 3:5.78249
 4727 train 1:3.66691 | 2:5.09387 | 3:5.85140
 4728 train 1:3.40539 | 2:4.74810 | 3:5.50466
 4729 train 1:3.53811 | 2:4.94170 | 3:5.71686
 4730 train 1:3.60457 | 2:5.09359 | 3:5.90098
 4731 train 1:3.84423 | 2:5.30026 | 3:6.06763
 4732 train 1:3.66447 | 2:5.09652 | 3:5.88557
 4733 train 1:3.57616 | 2:4.98228 | 3:5.80414
 4734 train 1:3.61509 | 2:5.03506 | 3:5.81801
 4735 train 1:3.30007 | 2:4.70234 | 3:5.52953
 4736 train 1:3.89777 | 2:5.26687 | 3:5.97861
 4737 train 1:3.60753 | 2:5.06937 | 3:5.88979
 4738 train 1:3.60825 | 2:5.04871 | 3:5.81232
 4739 train 1:3.55266 | 2:5.01992 | 3:5.78946
 4740 train 1:3.73425 | 2:5.16696 | 3:5.92008
 4741 train 1:3.78222 | 2:5.19471 | 3:5.94655
 4742 train 1:3.62294 | 2:5.02280 | 3:5.77626
 4743 train 1:3.52622 | 2:4.94515 | 3:5.75781
 4744 train 1:3.80239 | 2:5.26999 | 3:6.06387
 4745 train 1:3.78867 | 2:5.20230 | 3:5.94655
 4746 train 1:3.71810 | 2:5.11364 | 3:5.87051
 4747 train 1:3.85279 | 2:5.33248 | 3:6.07852
 4748 train 1:3.63826 | 2:5.02916 | 3:5.78510
 4749 train 1:3.75493 | 2:5.19311 | 3:5.96451
 4750 val 1:3.61495 | 2:4.99391 | 3:5.78154
 4750 train 1:3.47596 | 2:4.91580 | 3:5.73947
 4751 train 1:3.47812 | 2:4.90608 | 3:5.71969
 4752 train 1:3.30748 | 2:4.72826 | 3:5.57318
 4753 train 1:3.34921 | 2:4.77840 | 3:5.61030
 4754 train 1:3.31986 | 2:4.76795 | 3:5.61216
 4755 train 1:3.55355 | 2:4.99585 | 3:5.81923
 4756 train 1:3.46349 | 2:4.88417 | 3:5.69969
 4757 train 1:3.31183 | 2:4.68025 | 3:5.48679
 4758 train 1:3.66367 | 2:5.11482 | 3:5.88104
 4759 train 1:3.40279 | 2:4.85007 | 3:5.65144
 4760 train 1:3.58525 | 2:5.01706 | 3:5.80534
 4761 train 1:3.55488 | 2:4.98766 | 3:5.76539
 4762 train 1:3.61557 | 2:5.06413 | 3:5.83706
 4763 train 1:3.79372 | 2:5.18183 | 3:5.87262
 4764 train 1:3.96076 | 2:5.32509 | 3:6.05842
 4765 train 1:3.64540 | 2:5.05669 | 3:5.83363
 4766 train 1:3.91374 | 2:5.42025 | 3:6.20242
 4767 train 1:3.56710 | 2:4.96973 | 3:5.77138
 4768 train 1:4.15592 | 2:5.52160 | 3:6.12979
 4769 train 1:3.69709 | 2:5.09680 | 3:5.87735
 4770 train 1:3.53566 | 2:5.01773 | 3:5.83374
 4771 train 1:3.48384 | 2:4.85182 | 3:5.58843
 4772 train 1:3.80753 | 2:5.26108 | 3:5.99145
 4773 train 1:3.66350 | 2:5.11529 | 3:5.90439
 4774 train 1:3.60870 | 2:5.03997 | 3:5.79433
 4775 train 1:3.47551 | 2:4.95012 | 3:5.76379
 4776 train 1:3.70968 | 2:5.16431 | 3:5.92640
 4777 train 1:3.55318 | 2:4.97529 | 3:5.74909
 4778 train 1:3.79238 | 2:5.25973 | 3:6.06243
 4779 train 1:3.70857 | 2:5.20820 | 3:5.99119
 4780 train 1:3.75958 | 2:5.16326 | 3:5.91074
 4781 train 1:3.76763 | 2:5.25708 | 3:6.04611
 4782 train 1:3.94888 | 2:5.44071 | 3:6.19665
 4783 train 1:3.54252 | 2:4.93601 | 3:5.69550
 4784 train 1:3.61480 | 2:4.97593 | 3:5.74788
 4785 train 1:3.45816 | 2:4.87689 | 3:5.67807
 4786 train 1:3.41673 | 2:4.77328 | 3:5.49610
 4787 train 1:3.68101 | 2:5.13817 | 3:5.92384
 4788 train 1:4.27185 | 2:5.72207 | 3:6.40738
 4789 train 1:3.50444 | 2:4.95340 | 3:5.74949
 4790 train 1:3.57024 | 2:4.91243 | 3:5.63959
 4791 train 1:3.49072 | 2:4.89579 | 3:5.72712
 4792 train 1:3.44617 | 2:4.87851 | 3:5.70503
 4793 train 1:3.75628 | 2:5.15426 | 3:5.88603
 4794 train 1:3.56215 | 2:4.94114 | 3:5.70581
 4795 train 1:3.76116 | 2:5.19498 | 3:5.94413
 4796 train 1:3.82045 | 2:5.25362 | 3:5.98909
 4797 train 1:3.29784 | 2:4.70962 | 3:5.54814
 4798 train 1:3.52548 | 2:4.93031 | 3:5.74019
 4799 train 1:3.65326 | 2:5.06357 | 3:5.83439
 4800 train 1:3.56437 | 2:5.01632 | 3:5.83922
 4801 train 1:3.28753 | 2:4.66317 | 3:5.48112
 4802 train 1:2.99094 | 2:4.36432 | 3:5.24612
 4803 train 1:3.56036 | 2:5.02635 | 3:5.81191
 4804 train 1:3.61757 | 2:5.04193 | 3:5.85245
 4805 train 1:3.36753 | 2:4.78152 | 3:5.61312
 4806 train 1:3.59956 | 2:5.05469 | 3:5.83972
 4807 train 1:3.63000 | 2:5.05418 | 3:5.86358
 4808 train 1:4.09382 | 2:5.52128 | 3:6.25502
 4809 train 1:3.45462 | 2:4.81653 | 3:5.59382
 4810 train 1:3.66699 | 2:5.12650 | 3:5.92467
 4811 train 1:3.76700 | 2:5.23593 | 3:6.03509
 4812 train 1:3.74311 | 2:5.21595 | 3:5.95808
 4813 train 1:4.00029 | 2:5.45213 | 3:6.18871
 4814 train 1:3.70666 | 2:5.16264 | 3:5.92464
 4815 train 1:3.72496 | 2:5.14408 | 3:5.90155
 4816 train 1:3.66218 | 2:5.15146 | 3:5.98592
 4817 train 1:3.65715 | 2:5.06677 | 3:5.84951
 4818 train 1:3.53670 | 2:4.80806 | 3:5.49617
 4819 train 1:3.80817 | 2:5.24039 | 3:6.01692
 4820 train 1:3.58394 | 2:5.01251 | 3:5.80442
 4821 train 1:3.73336 | 2:5.17448 | 3:5.97873
 4822 train 1:3.75961 | 2:5.21639 | 3:5.95764
 4823 train 1:3.67818 | 2:5.08806 | 3:5.85216
 4824 train 1:3.47937 | 2:4.81455 | 3:5.60251
 4825 train 1:3.60505 | 2:5.03805 | 3:5.80542
 4826 train 1:3.40929 | 2:4.75644 | 3:5.57673
 4827 train 1:3.83960 | 2:5.25596 | 3:6.00409
 4828 train 1:3.86357 | 2:5.29642 | 3:6.02869
 4829 train 1:3.64407 | 2:5.15211 | 3:5.97077
 4830 train 1:3.82531 | 2:5.26408 | 3:6.02978
 4831 train 1:3.70343 | 2:5.14525 | 3:5.92736
 4832 train 1:3.51698 | 2:4.93411 | 3:5.74067
 4833 train 1:3.89494 | 2:5.30281 | 3:6.05498
 4834 train 1:3.76920 | 2:5.25084 | 3:6.00892
 4835 train 1:3.59750 | 2:5.02221 | 3:5.76892
 4836 train 1:3.64947 | 2:5.05760 | 3:5.84377
 4837 train 1:3.80653 | 2:5.22844 | 3:5.99903
 4838 train 1:3.50195 | 2:4.88694 | 3:5.66038
 4839 train 1:3.49127 | 2:4.93151 | 3:5.76043
 4840 train 1:3.60208 | 2:5.07597 | 3:5.87588
 4841 train 1:3.68189 | 2:5.08146 | 3:5.82235
 4842 train 1:3.79977 | 2:5.22199 | 3:5.93811
 4843 train 1:3.64720 | 2:5.05027 | 3:5.81650
 4844 train 1:3.31775 | 2:4.71794 | 3:5.54659
 4845 train 1:3.90308 | 2:5.28484 | 3:6.04100
 4846 train 1:3.16595 | 2:4.54846 | 3:5.38405
 4847 train 1:3.56606 | 2:5.01442 | 3:5.79617
 4848 train 1:3.55880 | 2:4.99843 | 3:5.78933
 4849 train 1:3.28112 | 2:4.72731 | 3:5.59295
 4850 train 1:3.52286 | 2:4.96902 | 3:5.74922
 4851 train 1:3.45858 | 2:4.87568 | 3:5.69599
 4852 train 1:3.75258 | 2:5.17436 | 3:5.91429
 4853 train 1:3.50978 | 2:4.80110 | 3:5.52181
 4854 train 1:3.33730 | 2:4.69766 | 3:5.47496
 4855 train 1:3.40627 | 2:4.80473 | 3:5.59363
 4856 train 1:3.77506 | 2:5.25379 | 3:6.01008
 4857 train 1:3.73914 | 2:5.22008 | 3:6.01371
 4858 train 1:3.71395 | 2:5.18563 | 3:5.96613
 4859 train 1:3.64761 | 2:5.11615 | 3:5.92528
 4860 train 1:3.78727 | 2:5.22817 | 3:6.01783
 4861 train 1:3.93299 | 2:5.40731 | 3:6.17687
 4862 train 1:3.45949 | 2:4.82652 | 3:5.59631
 4863 train 1:3.60141 | 2:5.06366 | 3:5.89457
 4864 train 1:3.39584 | 2:4.80906 | 3:5.62641
 4865 train 1:3.62050 | 2:5.01715 | 3:5.79313
 4866 train 1:3.48365 | 2:4.90986 | 3:5.69627
 4867 train 1:3.49833 | 2:5.01750 | 3:5.85426
 4868 train 1:3.65510 | 2:5.01775 | 3:5.76521
 4869 train 1:3.51701 | 2:4.90464 | 3:5.69289
 4870 train 1:3.79551 | 2:5.25702 | 3:6.03709
 4871 train 1:3.67939 | 2:5.09928 | 3:5.88116
 4872 train 1:3.42625 | 2:4.75421 | 3:5.51401
 4873 train 1:3.35489 | 2:4.80409 | 3:5.63630
 4874 train 1:3.76372 | 2:5.25585 | 3:6.05384
 4875 train 1:3.58892 | 2:4.95983 | 3:5.75662
 4876 train 1:3.67046 | 2:5.12818 | 3:5.91147
 4877 train 1:3.50997 | 2:4.85260 | 3:5.62369
 4878 train 1:3.68010 | 2:5.12534 | 3:5.91651
 4879 train 1:3.53791 | 2:4.89824 | 3:5.67881
 4880 train 1:3.76716 | 2:5.20648 | 3:5.95459
 4881 train 1:3.65992 | 2:5.11416 | 3:5.86987
 4882 train 1:3.51912 | 2:4.98733 | 3:5.81463
 4883 train 1:3.90522 | 2:5.39252 | 3:6.14503
 4884 train 1:3.53451 | 2:4.93188 | 3:5.69441
 4885 train 1:3.57227 | 2:5.01269 | 3:5.82003
 4886 train 1:3.35857 | 2:4.70109 | 3:5.47693
 4887 train 1:3.66873 | 2:5.09661 | 3:5.84394
 4888 train 1:3.71230 | 2:5.13117 | 3:5.89509
 4889 train 1:3.82062 | 2:5.21886 | 3:5.97614
 4890 train 1:3.48772 | 2:4.90969 | 3:5.69315
 4891 train 1:3.38558 | 2:4.79861 | 3:5.61092
 4892 train 1:3.70615 | 2:5.01644 | 3:5.70924
 4893 train 1:3.53186 | 2:4.93969 | 3:5.71946
 4894 train 1:3.85742 | 2:5.30680 | 3:6.05653
 4895 train 1:3.19355 | 2:4.56024 | 3:5.36706
 4896 train 1:3.62171 | 2:5.10627 | 3:5.92077
 4897 train 1:3.46737 | 2:4.88190 | 3:5.69500
 4898 train 1:3.58613 | 2:4.95636 | 3:5.72631
 4899 train 1:3.49128 | 2:4.89506 | 3:5.65630
 4900 train 1:3.60256 | 2:5.01493 | 3:5.77423
 4901 train 1:3.34608 | 2:4.79817 | 3:5.61038
 4902 train 1:3.39820 | 2:4.77846 | 3:5.58870
 4903 train 1:3.47471 | 2:4.72282 | 3:5.42903
 4904 train 1:3.65578 | 2:5.13692 | 3:5.92548
 4905 train 1:3.80149 | 2:5.27588 | 3:6.03993
 4906 train 1:4.21296 | 2:5.76869 | 3:6.49420
 4907 train 1:3.44443 | 2:4.82706 | 3:5.59068
 4908 train 1:3.70119 | 2:5.14762 | 3:5.94206
 4909 train 1:3.57809 | 2:4.99822 | 3:5.79010
 4910 train 1:3.57386 | 2:4.95706 | 3:5.72998
